COD SAP;ITEM PÁSCOA 2025;Grupo;PEDIDO LOJA;PEDIDO VD
1002209;ARVORE DE NATAL 70GX24UN;CACAU MAGIA;11;2
1003781;BB FLOWPACK LEITE 72GX12UN;CACAU MAGIA;22;3
1003836;BOMBOM DEGUSTACAO AVELA CLARA 1,2KG;APOIO;2;0
1003194;BOMBONS SORTIDOS DE NATAL 40GX36UN;CACAU MAGIA;30;4
1003887;CAIXA CENARIO 220GX10UN;CACAU MAGIA;6;1
1003886;CAIXA FELIZ NATAL 88GX14UN;CACAU MAGIA;12;2
1003834;CAIXA MAGIA DO NATAL 156GX12UN;CACAU MAGIA;7;1
1003770;CAIXA TABLETES NATAL 90GX12UN;CACAU MAGIA;11;1
1003876;CALENDARIO ADVENTO 188GX6UN;CACAU MAGIA;2;1
2005864;CHAVEIRO SNOOPY NATAL CH;APOIO;2;1
1000339;CHOCOARTE BOAS FESTAS LEITE 40GX24UN;CACAU MAGIA;14;2
1003226;COOKIES NATAL GOTAS AO LEITE 140GX8UN;CACAU MAGIA;20;3
1003779;CUBO BOMBOM BROWNIE 130GX24UN;CACAU MAGIA;6;1
1003200;CX DRAGEADO LICOR CEREJA 200GX9UN;CACAU MAGIA;12;2
1002208;CX GOURMET 255GX12UN;GOURMET;10;1
1003780;CX MINI SHOW NATAL 108GX16UN;CACAU MAGIA;31;4
1003734;CX NATALINA 7 CHOCOLATES 350GX6UN;PREMIUM;5;1
1003802;DEGUSTACAO PANETTONE BROWNIE 500GX8UN;APOIO;2;0
1003772;DISPLAY ESTRELA BLESS ZA 106GX24UN;CACAU MAGIA;3;1
1003773;DISPLAY ESTRELA BLESS ZL 106GX24UN;CACAU MAGIA;2;1
1003771;DISPLAY ESTRELA NATAL BRIG 106GX24UN;CACAU MAGIA;34;5
1003892;LATA CARROSSEL LACREME 135GX10UN;CACAU MAGIA;6;1
1003888;LATA SNOOPY 108GX10UN;CACAU MAGIA;8;1
1003835;MINI ENFEITE DE NATAL 40GX24UN;CACAU MAGIA;20;3
1003735;PANET DREAMS TORTA DE MARACUJA 750GX8UN;PANET 750;15;2
1003707;PANET FONDUE MF PISTACHE 900GX8UN;PANET PREMIUM;20;3
1003796;PANETTONE  FONDUE MIL FOLHAS 900GX8UN;PANET PREMIUM;16;2
1003488;PANETTONE BRIGADEIRO 580GX12UN;PANET 580;13;2
1003862;PANETTONE BROWNIE 500GX12UN;PANET 580;10;2
1003189;PANETTONE CHOCOLATE AO LEITE 420GX18UN;PANET 420;41;6
1003794;PANETTONE CLASSICO MIAU 650GX12UN;PANET 650;4;0
1003832;PANETTONE DEGUSTACAO SPECULOOS 580GX8UN;APOIO;2;0
1000326;PANETTONE DREAMS TRUFADO GOTAS 750GX8UN;PANET PREMIUM;7;1
1003470;PANETTONE FRUTAS 450GX18UN;PANET SECOS;22;3
1003469;PANETTONE GOTAS 450GX18UN;PANET SECOS;32;0
1003833;PANETTONE LACREME 3 CHOC 850GX8UN;PANET PREMIUM;9;1
1003489;PANETTONE LACREME 650GX12UN;PANET 650;25;4
1002476;PANETTONE LACREME ZERO ACUCAR 650GX12UN;CACAU MAGIA;8;1
1003490;PANETTONE LIMAO SICILIANO 580GX12UN;PANET 580;9;1
1003186;PANETTONE MINI BRIGADEIRO 130GX18UN;PANET MINI;7;1
1000668;PANETTONE PREMIUM LACREME 750GX8UN;PANET 750;12;2
1003857;PANETTONE SPECULOOS 580GX12UN;PANET 580;6;1
1001970;PANETTONE TRUFADO MEZZO 580GX12UN;PANET 580;14;2
1002482;PAPAI NOEL ART CACAU MAGIA 70GX24UN;CACAU MAGIA;9;1
1001957;PEDACOS PANETTONES COBERTOS 200GX6UN;GOURMET;23;3
1002849;TAB NATALINO ARVORE AO LEITE 100GX38UN;CACAU MAGIA;6;1
1001216;TABLETE DE NATAL PAPAI NOEL 54GX36UN;CACAU MAGIA;18;3
1003733;TABLETINHOS NATALINOS AO LEITE 30GX60UN;CACAU MAGIA;4;1
1003142;TRUFA ART PANETTONE 30GX90UN;CACAU MAGIA;7;1
1003730;WAFER NATAL MIL FOLHAS 80GX14UN;CACAU MAGIA;23;3
1003775;WAFER SPECULOOS 80GX14UN;CACAU MAGIA;12;2
