COD SAP;ITEM PÁSCOA 2025;Grupo;PEDIDO LOJA;PEDIDO VD
1003516;OVO CHOC CACAU CLASSICOS TRUFA 280GX12UN;LENÇO;;
1003275;OVO CHOC AO LEITE LACREME RECH 400GX6UN;DREAMS;;
1003868;OVO CHOC CACAU DREAMS DUBAI PIS 400GX6UN;DREAMS;;
1003988;OVO CHOC CACAU GARRAFA CHASE 170GX6UN;INFANTIL;;
1003989;OVO CHOC CACAU GARRAFA SKYE 170GX6UN;INFANTIL;;
1003902;OVO CHOC CACAU BOLA CBF 170GX6UN;INFANTIL;;
1003504;OVO CHOC BRANCO LACREME 348GX12UN;LENÇO;;
1003863;OVO CHOC AO LEITE LACREME GIAN 348GX12UN;LENÇO;;
1002081;OVO CHOC CACAU DREAMS BROWNIE 400GX6UN;DREAMS;;
1003815;BOMBOM CHOC CACAU MAGIA BRIGAD 130GX24UN;CACAU MAGIA;;
1003930;OVO CHOC CACAU CADERNO BELLAS 170GX6UN;INFANTIL;;
1003932;OVO CHOC CACAU BOLHA CLAUDETE 170GX6UN;INFANTIL;;
1002904;OVO CHOC AO LEITE LACREME ZA 400GX6UN;DREAMS;;
1003931;OVO CHOC CACAU BOLHA LUDOVICO 170GX6UN;INFANTIL;;
1003584;OVO CHOC CACAU MAGIA COELHO 40GX15UN;INFANTIL;;
1003377;BOMBOM CHOC SORT MINISHOW PSC 108GX16UN;PRESENTES;;
1003996;TABLETE CHOC CACAU CHAPEU HP 160GX6UN;INFANTIL;;
1003963;OVO CHOC CACAU FONE SONIC 140GX8UN;INFANTIL;;
1003986;OVO CHOC CACAU CANETAS MONSTROS 170GX6UN;INFANTIL;;
1001133;OVO CHOC CACAU DREAMS MIL FOLHA 400GX6UN;DREAMS;;
1003903;OVO CHOC CACAU MOCHILA BELLAS 170GX8UN;INFANTIL;;
1002558;OVINHOS CHOC CACAU DREAMS RECH 150GX12UN;DREAMS;;
1002063;OVO CHOC CACAU CLASSICOS SORT 700GX6UN;LENÇO;;
1003895;COELHOS E OVOS CHOC CACAU MAGIA 60GX24UN;CACAU MAGIA;;
1003901;OVO CHOC CACAU BOLA NBA 170GX6UN;INFANTIL;;
